Frequency_Hz,Magnitude_dB,Phase_Rad
0.00,6.0204,0.0000
0.67,6.0204,0.0000
1.35,6.0204,0.0000
2.02,6.0204,0.0000
2.69,6.0203,0.0000
3.36,6.0203,0.0000
4.04,6.0203,0.0000
4.71,6.0202,0.0000
5.38,6.0202,0.0000
6.06,6.0201,0.0000
6.73,6.0200,0.0000
7.40,6.0200,0.0000
8.07,6.0200,0.0000
8.75,6.0200,0.0000
9.42,6.0200,0.0000
10.09,6.0200,0.0000
10.77,6.0201,0.0000
11.44,6.0202,0.0000
12.11,6.0202,0.0000
12.79,6.0203,0.0000
13.46,6.0203,0.0000
14.13,6.0204,0.0000
14.80,6.0204,0.0000
15.48,6.0204,0.0000
16.15,6.0205,0.0000
16.82,6.0205,0.0000
17.50,6.0205,0.0000
18.17,6.0205,0.0000
18.84,6.0205,0.0000
19.51,6.0205,0.0000
20.19,6.0205,0.0000
20.86,6.0205,0.0000
21.53,6.0205,0.0000
22.21,6.0206,0.0000
22.88,6.0206,0.0000
23.55,6.0206,0.0000
24.22,6.0206,0.0000
24.90,6.0206,0.0000
25.57,6.0206,0.0000
26.24,6.0206,0.0000
26.92,6.0206,0.0000
27.59,6.0206,0.0000
28.26,6.0206,0.0000
28.94,6.0206,0.0000
29.61,6.0206,0.0000
30.28,6.0206,0.0000
30.95,6.0206,0.0000
31.63,6.0206,0.0000
32.30,6.0206,0.0000
32.97,6.0206,0.0000
33.65,6.0206,0.0000
34.32,6.0206,0.0000
34.99,6.0206,0.0000
35.66,6.0206,0.0000
36.34,6.0206,0.0000
37.01,6.0206,0.0000
37.68,6.0206,0.0000
38.36,6.0206,0.0000
39.03,6.0206,0.0000
39.70,6.0206,0.0000
40.37,6.0206,0.0000
41.05,6.0206,0.0000
41.72,6.0206,0.0000
42.39,6.0206,0.0000
43.07,6.0206,0.0000
43.74,6.0206,0.0000
44.41,6.0206,0.0000
45.09,6.0206,0.0000
45.76,6.0206,0.0000
46.43,6.0206,0.0000
47.10,6.0206,0.0000
47.78,6.0206,0.0000
48.45,6.0206,0.0000
49.12,6.0206,0.0000
49.80,6.0206,0.0000
50.47,6.0206,0.0000
51.14,6.0206,0.0000
51.81,6.0206,0.0000
52.49,6.0206,0.0000
53.16,6.0206,0.0000
53.83,6.0206,0.0000
54.51,6.0206,0.0000
55.18,6.0206,0.0000
55.85,6.0206,0.0000
56.52,6.0206,0.0000
57.20,6.0206,0.0000
57.87,6.0206,0.0000
58.54,6.0206,0.0000
59.22,6.0206,0.0000
59.89,6.0206,0.0000
60.56,6.0206,0.0000
61.24,6.0206,0.0000
61.91,6.0206,0.0000
62.58,6.0206,0.0000
63.25,6.0206,0.0000
63.93,6.0206,0.0000
64.60,6.0206,0.0000
65.27,6.0206,0.0000
65.95,6.0206,0.0000
66.62,6.0206,0.0000
67.29,6.0206,0.0000
67.96,6.0206,0.0000
68.64,6.0206,0.0000
69.31,6.0206,0.0000
69.98,6.0206,0.0000
70.66,6.0206,0.0000
71.33,6.0206,0.0000
72.00,6.0206,0.0000
72.67,6.0206,0.0000
73.35,6.0206,0.0000
74.02,6.0206,0.0000
74.69,6.0206,0.0000
75.37,6.0206,0.0000
76.04,6.0206,0.0000
76.71,6.0206,0.0000
77.38,6.0206,0.0000
78.06,6.0206,0.0000
78.73,6.0206,0.0000
79.40,6.0206,0.0000
80.08,6.0206,0.0000
80.75,6.0206,0.0000
81.42,6.0206,0.0000
82.10,6.0206,0.0000
82.77,6.0206,0.0000
83.44,6.0206,0.0000
84.11,6.0206,0.0000
84.79,6.0206,0.0000
